更新时间,#genre#
东方卫视,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000518$订阅源-IPv6
东方卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221225755/index.m3u8$订阅源-IPv6
东方卫视,http://123.113.187.204:8000/udp/239.3.1.136:8032$订阅源
东方卫视,http://60.2.190.206:4000/udp/239.253.92.89:8019$订阅源
东方卫视,http://222.142.65.165:9901/tsfile/live/0107_1.m3u8$订阅源
东方卫视,http://123.113.187.204:8000/rtp/239.3.1.136:8032$组播源
东方卫视,http://60.2.190.206:4000/rtp/239.253.92.89:8019$组播源
东方卫视,http://222.129.139.229:8888/rtp/239.3.1.136:8032$组播源
东南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001201/index.m3u8$订阅源-IPv6
东南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225657/2/index.m3u8$订阅源-IPv6
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8%E4%B8%9C%E5%8D%97%E5%8D%AB%E8%A7%86$订阅源-IPv6
